Year,Month,Dom_Pax,Int_Pax,Pax,Dom_Flt,Int_Flt,Flt,Dom_RPM,Int_RPM,RPM,Dom_ASM,Int_ASM,ASM,Dom_LF,Int_LF,LF
2013,5,56562929,8023420,64586349,721429,70699,792128,50124875,22377482,72502358,59071089,26997317,86068406,84.86,82.89,84.24
2013,6,57990789,8883643,66874432,719340,72922,792262,52826886,24553427,77380313,60724524,28241852,88966376,86.99,86.94,86.98
2013,7,59310478,9709009,69019487,751473,77429,828902,54754440,26042187,80796627,63316272,29900939,93217210,86.48,87.09,86.68
2013,8,58115405,9403309,67518714,747070,75176,822246,53123226,25714167,78837393,62097316,29469344,91566659,85.55,87.26,86.10
2013,9,50766098,7255037,58021135,683379,62011,745390,44654213,21483923,66138136,55225708,25751134,80976841,80.86,83.43,81.68
2013,10,54706177,7274427,61980604,708414,64554,772968,47859063,20748717,68607779,57851883,25572700,83424583,82.73,81.14,82.24
2013,11,50542332,6880849,57423181,655776,63286,719062,44420301,18154243,62574544,55462933,23420132,78883064,80.09,77.52,79.33
2013,12,54332936,7967171,62300107,662288,69136,731424,49132863,20735571,69868434,57751867,25019442,82771309,85.08,82.88,84.41
2014,1,47957371,7671576,55628947,624812,68624,693436,43564242,20028742,63592984,54016077,25155594,79171671,80.65,79.62,80.32
2014,2,45513184,6770046,52283230,577191,63469,640660,40543404,16936813,57480217,49369928,22614187,71984116,82.12,74.89,79.85
2014,3,57761938,8503133,66265071,696376,76064,772440,51862069,21310134,73172203,60675476,26884781,87560258,85.47,79.26,83.57
2014,4,55247482,8094515,63341997,676337,71580,747917,49245719,21103585,70349305,57998604,26343479,84342083,84.91,80.11,83.41
2014,5,57888637,8479378,66368015,695855,72994,768849,51524009,23291494,74815503,59709929,28271254,87981183,86.29,82.39,85.04
2014,6,59261855,9196927,68458782,701992,76431,778423,53979753,25120695,79100448,61760043,29751163,91511206,87.40,84.44,86.44
2014,7,61757222,9988913,71746135,735424,80457,815881,56874287,26435210,83309497,64773257,31266476,96039732,87.81,84.55,86.74
2014,8,59758814,9629317,69388131,723997,76481,800478,54640338,26231520,80871859,62868005,30621247,93489252,86.91,85.66,86.50
2014,9,52529329,7342936,59872265,665490,62408,727898,46336496,21739193,68075689,56458422,26575230,83033652,82.07,81.80,81.99
2014,10,57084257,7286846,64371103,693925,63369,757294,50112975,20835706,70948681,59584323,26072467,85656790,84.10,79.91,82.83
2014,11,52577733,7049844,59627577,648891,64800,713691,46352174,18524898,64877072,56949527,24321971,81271498,81.39,76.17,79.83
2014,12,55486727,8165573,63652300,666264,71191,737455,50303173,21132922,71436095,60270587,26175094,86445681,83.46,80.74,82.64
2015,1,49727583,7936993,57664576,634734,69893,704627,45137552,20498038,65635591,56980250,26025329,83005579,79.22,78.76,79.07
2015,2,47164538,6886262,54050800,569972,62648,632620,42248126,17238321,59486447,51251150,22933198,74184348,82.43,75.17,80.19
2015,3,59557228,8524515,68081743,683892,72926,756818,53924945,21511252,75436197,62860123,27071647,89931770,85.79,79.46,83.88
2015,4,57698044,8119223,65817267,669783,70846,740629,51883045,20959421,72842466,61116535,27197262,88313797,84.89,77.06,82.48
2015,5,60251945,8567847,68819792,690116,71597,761713,54255235,23490547,77745782,63393874,29064149,92458022,85.58,80.82,84.09
2015,6,61810705,9352818,71163523,697378,74020,771398,56994796,25448026,82442822,65232947,30162970,95395918,87.37,84.37,86.42
2015,7,65128528,10395270,75523798,732753,78536,811289,60430804,27573804,88004608,68556515,32116607,100673122,88.15,85.86,87.42
2015,8,62770180,9981208,72751388,723998,75991,799989,57819107,27156489,84975596,66730854,31564671,98295526,86.65,86.03,86.45
2015,9,55989104,7656359,63645463,658392,62367,720759,49857937,22404240,72262177,59511944,27510443,87022387,83.78,81.44,83.04
2015,10,60892131,7739519,68631650,687710,63662,751372,54074370,21786470,75860840,62551345,26675237,89226582,86.45,81.67,85.02
2015,11,57150501,7332481,64482982,651176,63492,714668,50913042,18876704,69789747,60467124,24179274,84646398,84.20,78.07,82.45
2015,12,57870281,8410860,66281141,659785,70945,730730,53118963,21432815,74551779,63241198,26711528,89952725,83.99,80.24,82.88
2016,1,52473830,8220234,60694064,636761,70476,707237,48074919,20930267,69005186,59672179,26332010,86004190,80.57,79.49,80.23
2016,2,51111121,7276912,58388033,612176,65905,678081,46460173,17857305,64317478,57466885,24198863,81665748,80.85,73.79,78.76
2016,3,61592900,8846249,70439149,697830,74166,771996,56704006,21722335,78426341,66469561,27375245,93844807,85.31,79.35,83.57
2016,4,58893676,8236909,67130585,675633,71002,746635,53623641,21272344,74895985,63775636,27557124,91332760,84.08,77.19,82.00
2016,5,62752121,8658474,71410595,702944,72121,775065,57131517,23417723,80549240,66545323,29545223,96090546,85.85,79.26,83.83
2016,6,64757222,9649641,74406863,713634,75070,788704,60278319,26042153,86320472,68799336,30831533,99630870,87.61,84.47,86.64
2016,7,66134540,10651750,76786290,731044,78726,809770,62349210,28079998,90429208,71524171,32640788,104164959,87.17,86.03,86.81
2016,8,63498165,9851036,73349201,731988,74906,806894,59282098,26662752,85944849,69971791,31634549,101606340,84.72,84.28,84.59
2016,9,58619844,7767077,66386921,673171,62762,735933,52660625,22480586,75141211,62507787,27705349,90213136,84.25,81.14,83.29
2016,10,61708696,7745955,69454651,688347,63260,751607,55320059,21775573,77095632,64769646,27171641,91941286,85.41,80.14,83.85
2016,11,59269062,7259192,66528254,658162,61188,719350,53280610,18805494,72086104,62885798,23851439,86737237,84.73,78.84,83.11
2016,12,59178183,8735834,67914017,662154,72280,734434,54812269,22001650,76813919,65698072,27118317,92816388,83.43,81.13,82.76
2017,1,54108732,8451833,62560565,645169,71242,716411,50136641,21167951,71304592,63084038,26711252,89795289,79.48,79.25,79.41
2017,2,51077566,7243348,58320914,592048,63807,655855,46484888,17661922,64146810,57436638,23785528,81222166,80.93,74.25,78.98
2017,3,63963230,8934658,72897888,696983,73651,770634,58791439,21913330,80704768,68737048,27863556,96600605,85.53,78.65,83.54
2017,4,61098649,9097723,70196372,673380,72137,745517,56302475,23057928,79360403,66075373,28543219,94618593,85.21,80.78,83.87
2017,5,64442559,9178905,73621464,706747,72895,779642,59016272,24399847,83416119,68835179,30455251,99290430,85.74,80.12,84.01
2017,6,66746003,10211356,76957359,718817,76507,795324,62468942,27079807,89548749,71663336,31904900,103568236,87.17,84.88,86.46
2017,7,68574097,11190376,79764473,739541,81408,820949,65035199,28958608,93993807,74806668,33680646,108487314,86.94,85.98,86.64
2017,8,66663503,10384018,77047521,735233,75662,810895,62520253,27802659,90322912,73231019,32407563,105638582,85.37,85.79,85.50
2017,9,57143966,7726792,64870758,652003,60039,712042,51871547,22667597,74539144,63120276,28148004,91268280,82.18,80.53,81.67
2017,10,64624806,8030539,72655345,691971,64389,756360,58257900,22261064,80518965,68007435,28299580,96307015,85.66,78.66,83.61
2017,11,61911285,7678861,69590146,656939,62616,719555,55883966,19680722,75564688,65149163,25035612,90184775,85.78,78.61,83.79
2017,12,61373581,8913285,70286866,667216,71441,738657,56980320,22548282,79528602,68235413,27932831,96168244,83.51,80.72,82.70
2018,1,55829992,8559733,64389725,653344,69767,723111,51716868,21549127,73265996,65566516,27380828,92947344,78.88,78.70,78.83
2018,2,54077854,7596937,61674791,600492,63466,663958,49452398,18674644,68127042,60464267,24587642,85051909,81.79,75.95,80.10
2018,3,66643229,9603829,76247058,698464,74602,773066,61707206,23793520,85500726,71674598,28893311,100567909,86.09,82.35,85.02
2018,4,64556900,9035586,73592486,695306,72042,767348,59340837,23106823,82447659,70357638,29055033,99412671,84.34,79.53,82.93
2018,5,67844134,9416071,77260205,724065,73277,797342,62580568,25356444,87937012,73310971,31133051,104444022,85.36,81.45,84.20
2018,6,70277734,10569323,80847057,732292,77394,809686,66095829,28194872,94290701,75323742,32486010,107809753,87.75,86.79,87.46
2018,7,72539780,11391458,83931238,759879,81620,841499,69091745,29716690,98808435,78406927,34171666,112578593,88.12,86.96,87.77
2018,8,70337936,10624720,80962656,756345,77086,833431,66132022,28638849,94770872,76722785,33238079,109960864,86.20,86.16,86.19
2018,9,60468115,8208432,68676547,686422,65032,751454,55431352,23604682,79036033,68530468,29479449,98009918,80.89,80.07,80.64
2018,10,67081594,8399032,75480626,722634,66557,789191,61011629,23294709,84306338,72044924,29079416,101124339,84.69,80.11,83.37
2018,11,64659493,8052683,72712176,678121,64528,742649,58779361,20613643,79393004,69098147,25689087,94787234,85.07,80.24,83.76
2018,12,63646119,9209221,72855340,691040,73025,764065,59477976,23210813,82688789,71865604,28476318,100341922,82.76,81.51,82.41
2019,1,58033637,8956997,66990634,667538,72265,739803,54357953,22507073,76865026,68754679,28148681,96903359,79.06,79.96,79.32
2019,2,55679100,7872131,63551231,607916,65171,673087,51406118,19291164,70697283,62805310,25032799,87838108,81.85,77.06,80.49
2019,3,70233456,9948135,80181591,729115,77118,806233,65407750,24488323,89896073,75651233,29501782,105153015,86.46,83.01,85.49
2019,4,66938177,9461086,76399263,708988,72813,781801,61953253,24174894,86128147,72335243,29424979,101760222,85.65,82.16,84.64
2019,5,71363514,9952955,81316469,740482,74788,815270,65811129,26667148,92478276,75386003,31953392,107339395,87.30,83.46,86.16
2019,6,72789897,11018680,83808577,741462,79201,820663,68413114,29322269,97735383,76617119,33392864,110009983,89.29,87.81,88.84
2019,7,75281255,11644596,86925851,768645,82681,851326,71276327,30447264,101723592,80081319,34751863,114833182,89.00,87.61,88.58
2019,8,72715566,11035622,83751188,769675,78975,848650,68147755,29802655,97950411,78976519,34056646,113033164,86.29,87.51,86.66
2019,9,63979337,8589987,72569324,705071,64280,769351,58213654,25083576,83297229,70649463,30372637,101022100,82.40,82.59,82.45
2019,10,69922300,8678300,78600600,740181,65807,805988,63323849,24290255,87614104,74904303,29477943,104382246,84.54,82.40,83.94
2019,11,64816897,8240630,73057527,694377,64025,758402,59158778,21330058,80488836,72118560,26346567,98465127,82.03,80.96,81.74
2019,12,69718631,9566028,79284659,721420,71724,793144,65288156,24636021,89924177,76153730,29139144,105292875,85.73,84.55,85.40
2020,1,61622947,9144821,70767768,700493,70035,770528,57629920,23378976,81008896,72425565,28723812,101149378,79.57,81.39,80.09
2020,2,59868112,7945094,67813206,660344,64414,724758,55336120,18527485,73863606,68495012,24319113,92814125,80.79,76.18,79.58
2020,3,34413597,4645178,39058775,616136,51108,667244,32526486,10229609,42756095,64968387,17530264,82498651,50.07,58.35,51.83
2020,4,2877290,136609,3013899,217262,5018,222280,2551127,356762,2907889,19489079,1541419,21030499,13.09,23.15,13.83
2020,5,9697400,190629,9888029,252450,4996,257446,8117835,479069,8596904,22120037,1746343,23866380,36.70,27.43,36.02
2020,6,16207290,403702,16610992,273036,7220,280256,14007580,896609,14904189,24940429,2580911,27521340,56.16,34.74,54.16
2020,7,22921780,1132104,24053884,411226,16692,427918,20075947,1982897,22058844,40313242,5480689,45793931,49.80,36.18,48.17
2020,8,24431273,1399827,25831100,441615,18295,459910,21184550,2629514,23814064,42874103,7105839,49979942,49.41,37.00,47.65
2020,9,23854440,1413585,25268025,379506,18285,397791,20474546,2589214,23063760,35882006,7283900,43165905,57.06,35.55,53.43
2020,10,28026570,1982866,30009436,410189,23724,433913,24425708,3433101,27858809,40389923,8881698,49271621,60.47,38.65,56.54
2020,11,26293959,2463575,28757534,421049,29652,450701,23711619,4238353,27949973,43474919,10199590,53674509,54.54,41.55,52.07
2020,12,27263462,3269403,30532865,428768,38852,467620,25075790,5750942,30826732,45077321,12309781,57387103,55.63,46.72,53.72
2021,1,24305435,2986261,27291696,408807,40455,449262,22357664,5434809,27792473,42318242,12923703,55241945,52.83,42.05,50.31
2021,2,24483154,2121336,26604490,361687,34903,396590,22477682,3840749,26318431,37928419,10965754,48894173,59.26,35.02,53.83
2021,3,39342855,3453943,42796798,499359,42273,541632,36811555,5867011,42678566,53749326,13510189,67259515,68.49,43.43,63.45
2021,4,43798512,3998149,47796661,514268,40981,555249,40971446,6667109,47638554,54787593,14129131,68916725,74.78,47.19,69.12
2021,5,52751776,4941591,57693367,565788,44613,610401,49648995,8165943,57814938,61332631,15385728,76718359,80.95,53.07,75.36
2021,6,60109293,6035931,66145224,617735,48831,666566,57717786,10815231,68533017,67462113,17097559,84559672,85.56,63.26,81.05
2021,7,66739409,7033399,73772808,664437,52663,717100,64545073,13494801,78039874,73407768,19144100,92551868,87.93,70.49,84.32
2021,8,60630994,6357070,66988064,662000,50664,712664,58416638,13314028,71730666,71871421,19302668,91174089,81.28,68.98,78.67
2021,9,53902837,4843245,58746082,610284,43758,654042,50123961,10421281,60545242,66268767,17668823,83937590,75.64,58.98,72.13
2021,10,60546348,5360481,65906829,630240,47139,677379,55934187,10985232,66919419,69064940,18107013,87171954,80.99,60.67,76.77
2021,11,59779045,5998703,65777748,617806,50706,668512,55742346,12199554,67941900,68469320,17676220,86145540,81.41,69.02,78.87
2021,12,59534619,7093846,66628465,605976,59710,665686,57091558,14779224,71870782,69447090,20677611,90124701,82.21,71.47,79.75
2022,1,45814139,6048973,51863112,569018,59036,628054,43954958,12498379,56453337,64319112,20881798,85200910,68.34,59.85,66.26
2022,2,49075979,5725939,54801918,533962,52667,586629,46520073,11512744,58032817,60647305,18500799,79148105,76.71,62.23,73.32
2022,3,64617029,7872874,72489903,629670,62309,691979,61674886,16212974,77887859,71989974,22030861,94020835,85.67,73.59,82.84
2022,4,63518318,8398121,71916439,616135,63462,679597,60270759,18529341,78800100,68700144,23743871,92444015,87.73,78.04,85.24
2022,5,66961805,8815732,75777537,644024,65674,709698,62706846,20788694,83495540,70974153,26263661,97237814,88.35,79.15,85.87
2022,6,67368670,10023468,77392138,640218,67900,708118,63343854,24276114,87619968,70415408,27883747,98299154,89.96,87.06,89.14
2022,7,69432042,10943155,80375197,667889,71229,739118,65633746,26440533,92074279,74959377,29660776,104620153,87.56,89.14,88.01
2022,8,66520067,10115929,76635996,657576,68544,726120,62934639,24979841,87914480,73836109,29246437,103082546,85.24,85.41,85.29
2022,9,63139630,8287331,71426961,622299,57089,679388,58463970,21860088,80324058,68920247,26063870,94984116,84.83,83.87,84.57
2022,10,67935181,8414518,76349699,639282,57765,697047,62656863,21457977,84114840,72264313,25834667,98098981,86.71,83.06,85.74
2022,11,63680032,8216914,71896946,605075,59745,664820,59194297,19692450,78886747,70250775,24616723,94867498,84.26,80.00,83.15
2022,12,62482296,9405384,71887680,596437,67511,663948,59724506,22595815,82320321,71301260,27343999,98645259,83.76,82.64,83.45
2023,1,58284200,9066833,67351033,605944,66859,672803,55627743,21021245,76648988,72122699,26809510,98932209,77.13,78.41,77.48
2023,2,56729998,8066893,64796891,567702,60643,628345,53329402,18254936,71584338,67037368,24211736,91249104,79.55,75.40,78.45
2023,3,69708556,10094584,79803140,655836,71076,726912,65767207,23802743,89569950,78074142,28689319,106763461,84.24,82.97,83.90
2023,4,67571574,10008645,77580219,636160,70078,706238,63426143,24708597,88134739,74335449,29988666,104324115,85.32,82.39,84.48
2023,5,71423653,10358666,81782319,667331,71924,739255,66743565,26805432,93548998,77821407,31950687,109772094,85.77,83.90,85.22
2023,6,72482621,11544505,84027126,661293,75279,736572,68789127,29883465,98672591,78058358,33410671,111469028,88.13,89.44,88.52
2023,7,75378157,12432615,87810772,684939,79738,764677,72267904,31376000,103643904,81986010,35326191,117312202,88.15,88.82,88.35
2023,8,71477988,11572149,83050137,691482,77137,768619,67933484,29938507,97871992,81997399,34908793,116906192,82.85,85.76,83.72
2023,9,66858490,9392985,76251475,649308,64241,713549,61777546,26076318,87853864,75748336,31231710,106980046,81.56,83.49,82.12